No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
1,2013,3,1,0,6,18,5,9.8,800,88,0.1,1021.1,-18.6,0,7,4.4,5
2,2013,3,1,1,6,15,5,11,800,88,-0.3,1021.5,-19,0,7,4,5
3,2013,3,1,2,5,18,5.2,10.09936,700,52,-0.7,1021.5,-19.8,0,14,4.6,5
4,2013,3,1,3,6,20,6,13.6,320,49.8,-1,1022.7,-21.2,0,13,2.8,5
5,2013,3,1,4,5,17,5,15.6,600,73,-1.3,1023,-21.4,0,14,3.6,5
6,2013,3,1,5,4,11,3,8.4,700,87,-1.8,1023.6,-21.9,0,0,1.2,5
7,2013,3,1,6,3,6,3,9.8,700,92,-2.6,1024.3,-20.4,0,1,1.2,5
8,2013,3,1,7,5,5,3,14.2,800,86,-0.9,1025.6,-20.5,0,1,1.1,5
9,2013,3,1,8,5,9,5,9.2,900,81,0.1,1026.1,-20.3,0,1,3,5
10,2013,3,1,9,4,10,6,9.2,900,82,1.1,1026.1,-20.6,0,4,2.8,5
11,2013,3,1,10,7,8,8,11.6,900,82,1.9,1026.1,-21.3,0,1,3,5
12,2013,3,1,11,3,6,8,12,800,85,3.3,1026.1,-20.9,0,1,3.2,5
13,2013,3,1,12,9,10,8,13.8,800,86,4.1,1025.1,-20.3,0,1,3.2,5
14,2013,3,1,13,10,19,9,18.4,900,86,5.3,1024.1,-20.1,0,4,2.7,5
15,2013,3,1,14,13,20,8,14.8,800,88,5.5,1023.8,-20,0,4,2.1,5
16,2013,3,1,15,13,16,8,11.2,800,90,6.3,1023.5,-19.3,0,1,2.7,5
17,2013,3,1,16,11,22,6,15.4,800,90,5.9,1023.6,-18.8,0,1,1.8,5
18,2013,3,1,17,10,20,4,9.8,800,87,5.1,1024.2,-18.7,0,14,1,5
19,2013,3,1,18,11,20,6,12.6,900,80,3.7,1025.3,-19.2,0,0,1.6,5
20,2013,3,1,19,11,31,8,12.0053,1000,69,2.7,1026.1,-19.3,0,0,1.7,5
21,2013,3,1,20,13,25,12,5,1100,61,1.6,1027.1,-18.4,0,2,1.9,5
22,2013,3,1,21,15,23,14,13,1200,52,1,1028.1,-17.4,0,10,0.7,5
23,2013,3,1,22,16,28,16,19,1200,45,1.3,1028.4,-17.6,0,0,1,5
24,2013,3,1,23,16,28,14,20,1100,44,0.2,1028.6,-17.6,0,2,1.1,5
25,2013,3,2,0,14,18,24,43,1399,25,-0.3,1028.9,-18,0,1,1.4,5
26,2013,3,2,1,18,39,25,28,1300,37,-0.7,1029.2,-17.9,0,0,1,5
27,2013,3,2,2,19,29,30,13,1100,47,-0.8,1028.8,-18,0,1,1.4,5
28,2013,3,2,3,15,24,20,12,1000,46,-1.2,1028.6,-17.9,0,1,1.1,5
29,2013,3,2,4,13,16,21,24,1200,37,-1.3,1028.7,-18.9,0,4,1.1,5
30,2013,3,2,5,12,23,26,11,1200,50,-1.3,1028,-18.4,0,1,1.4,5
31,2013,3,2,6,12,12,18,24.6,1000,62,-1.6,1027.5,-18.6,0,1,0.7,5
32,2013,3,2,7,3,6,19,11,1100,52,-1.3,1028,-17.9,0,2,0.6,5
33,2013,3,2,8,3,9,22,15,1200,51,-0.6,1027.7,-17.8,0,5,0.9,5
34,2013,3,2,9,10,15,30,27,1200,42,0.3,1027.8,-17.5,0,12,0.7,5
35,2013,3,2,10,15,17,34,45,1300,30,1.7,1027.2,-17.3,0,12,1.9,5
36,2013,3,2,11,20,31,27,45,1399,31,2.5,1026.4,-17.1,0,11,2,5
37,2013,3,2,12,26,36,26,23,1200,49,3.1,1025.1,-17.2,0,11,2.2,5
38,2013,3,2,13,31,43,23,6,1100,65,3.5,1023.7,-17.4,0,10,1.2,5
39,2013,3,2,14,32,36,26,12,1200,62,3.7,1022.9,-16.7,0,10,1.1,5
40,2013,3,2,15,36,37,40,22,1600,59,3.8,1022.3,-16,0,10,1.2,5
41,2013,3,2,16,47,66,47,30,1600,55,3.6,1021.7,-15.1,0,8,1.4,5
42,2013,3,2,17,59,80,50,32,1500,51,3.2,1021.6,-14.5,0,10,1.4,5
43,2013,3,2,18,63,88,50,36,1600,50,2.8,1021.2,-13.9,0,8,0.6,5
44,2013,3,2,19,70,102,62,62,1899,26,1.4,1021.1,-13.5,0,0,0.7,5
45,2013,3,2,20,86,125,66,89,2100,6,1.4,1021.1,-14.7,0,0,0.9,5
46,2013,3,2,21,98,147,67,84,2200,7,0.5,1020.7,-13.6,0,9,0.6,5
47,2013,3,2,22,98,126,71,97,2500,5,-0.8,1020.2,-12.7,0,6,0.6,5
48,2013,3,2,23,86,108,71,97,2600,5,-1.9,1019.2,-11.5,0,7,0,5
49,2013,3,3,0,81,108,64,91,2500,4,-2.5,1018.4,-11,0,14,0.5,5
50,2013,3,3,1,80,99,66,85,3000,5,-2.6,1017.6,-10.9,0,12,0.2,5
51,2013,3,3,2,84,106,66,74,3799,5,-3.1,1016.2,-11.1,0,9,0.8,5
52,2013,3,3,3,87,137,50,61,2600,5,-3.6,1015.4,-11.6,0,12,0.2,5
53,2013,3,3,4,79,92,42,39,2100,10,-4.2,1014.9,-11.2,0,2,0,5
54,2013,3,3,5,54,71,56,78,3799,5,-4.4,1014.5,-11,0,3,0,5
55,2013,3,3,6,76,94,47,65,3700,4,-4.7,1014.4,-11.5,0,7,0.9,5
56,2013,3,3,7,82,110,46,53,2899,4,-2.5,1014.7,-10.3,0,10,0.9,5
57,2013,3,3,8,78,88,52,52,2899,6,1.2,1014.1,-12.6,0,4,0.5,5
58,2013,3,3,9,77,99,60,66,3399,9,3.8,1013.6,-12.6,0,11,0.5,5
59,2013,3,3,10,87,113,80,86,3000,14,6.4,1012.8,-12.2,0,9,1.4,5
60,2013,3,3,11,97,115,74,94,3000,16,10.5,1011.7,-12.2,0,10,1.4,5
61,2013,3,3,12,102,138,68,109,3100,18,14.1,1010.4,-12.2,0,14,3,5
62,2013,3,3,13,113,184,66,81,2399,51,16,1009.3,-13.5,0,14,2.6,5
63,2013,3,3,14,127,194,53,51,1800,71,16.6,1008.7,-13,0,14,2.4,5
64,2013,3,3,15,97,149,19,46,1000,85,16.9,1008.3,-13.8,0,14,3.7,5
65,2013,3,3,16,61,112,20,6,1100,79,15.8,1008.4,-11.7,0,14,1.9,5
66,2013,3,3,17,44,119,25,13,1300,80,12.1,1009.1,-9,0,7,1.7,5
67,2013,3,3,18,78,178,81,90,2299,51,14.6,1010.1,-13.6,0,6,4.4,5
68,2013,3,3,19,150,268,60,81,2100,40,13.8,1011.3,-13.3,0,13,1.2,5
69,2013,3,3,20,126,193,7,15.4,900,79,12.6,1011.4,-13.4,0,14,1.4,5
70,2013,3,3,21,34,39,3,16,800,88,10.3,1011.7,-12.4,0,14,2.1,5
71,2013,3,3,22,14,32,12,3,1100,63,9.4,1011.9,-11.9,0,14,1.4,5
72,2013,3,3,23,20,43,24,52,1800,17,11,1012.7,-11.8,0,0,0.5,5
73,2013,3,4,0,28,59,23,18,1600,47,10.1,1013.6,-11.9,0,5,3.5,5
74,2013,3,4,1,23,53,15,22.90466,900,70,9.5,1014.5,-11.8,0,4,2,5
75,2013,3,4,2,16,38,9,14.2,800,70,8.6,1014.7,-12.5,0,14,1,5
76,2013,3,4,3,13,40,10,11.49406,900,62,8.1,1014.9,-13,0,3,1.6,5
77,2013,3,4,4,13,40,10,2,1000,52,7.2,1015.8,-13.1,0,12,0.9,5
78,2013,3,4,5,12,31,8,22.8,900,64,3.7,1016.4,-12.7,0,0,0.2,5
79,2013,3,4,6,8,20,5,16.2,900,78,3.2,1016.9,-11.9,0,0,0.5,5
80,2013,3,4,7,5,10,4,13,1000,62,7,1017.9,-12.2,0,3,0.8,5
81,2013,3,4,8,7,21,17,46,1500,24,8.7,1018.7,-11.3,0,9,1.5,5
82,2013,3,4,9,15,49,24,39,1600,31,10.1,1018.5,-11.9,0,2,3.2,5
83,2013,3,4,10,19,50,21,32,1399,47,11.1,1018.4,-12.4,0,10,1.8,5
84,2013,3,4,11,19,35,15,2,1100,67,12.7,1017.6,-12.5,0,2,1.8,5
85,2013,3,4,12,18,31,12,25.67828,1000,72,14.3,1016.7,-12.9,0,14,0.9,5
86,2013,3,4,13,18,32,9,24.2,900,84,14.8,1015.7,-12.5,0,8,2.8,5
87,2013,3,4,14,19,22,11,23.8,900,81,14.8,1014.9,-13.4,0,11,1.7,5
88,2013,3,4,15,22,27,12,12.6,1000,103,15,1014.2,-14.2,0,11,2.3,5
89,2013,3,4,16,26,36,10,23,900,105,14.7,1013.8,-12.6,0,13,1.3,5
90,2013,3,4,17,28,34,10,26,1000,107,12.7,1014,-11.1,0,13,1.8,5
91,2013,3,4,18,32,55,12,3,1000,94,11.2,1014.5,-11.6,0,15,0.9,5
92,2013,3,4,19,38,82,17,16,1100,76,9.7,1014.7,-10.5,0,13,1.7,5
93,2013,3,4,20,45,96,34,36,1399,52,8.4,1014.9,-10.5,0,10,1,5
94,2013,3,4,21,57,108,39,42,1399,44,7.8,1015,-10.1,0,13,1.6,5
95,2013,3,4,22,72,106,51,74,1899,15,5.8,1014.6,-10.1,0,14,0.9,5
96,2013,3,4,23,83,156,70,82,2000,107,5.9,1013.7,-10,0,14,1.3,5
97,2013,3,5,0,99,156,83,85,2100,107,5.7,1013.3,-9.7,0,13,0.9,5
98,2013,3,5,1,111,159,63,62,2100,107,3,1012.7,-8.4,0,4,0.5,5
99,2013,3,5,2,122,162,31.6552,54,1899,107,1.3,1012.4,-8,0,1,0.2,5
100,2013,3,5,3,122,157,53,70,2360,107,0.6,1012,-7.9,0,14,0.1,5
101,2013,3,5,4,111,147,48,90.89022,2000,107,0.5,1011.8,-8.5,0,13,0.5,5
102,2013,3,5,5,95,158,50,59,3299,107,-0.2,1011.9,-8.2,0,7,0.4,5
103,2013,3,5,6,86,108,52,77,2899,107,0.1,1011.7,-7.9,0,14,0.2,5
104,2013,3,5,7,88,124,63,80,3299,107,1.6,1011.5,-8,0,6,0.2,5
105,2013,3,5,8,93,134,69,77,4099,107,5.4,1011.3,-10,0,9,2.3,5
106,2013,3,5,9,98,137,78,87,3200,107,7.7,1010.7,-9.3,0,2,1.7,5
107,2013,3,5,10,109,151,78,84,2899,107,9,1009.9,-9,0,9,2.9,5
108,2013,3,5,11,114,141,70,77.4,1500,107,10.1,1009.1,-9.1,0,9,2,5
109,2013,3,5,12,115,144,65,91.10106,100,2,12.4,1007.6,-8.8,0,9,1.6,5
110,2013,3,5,13,120,139,66,100.6,100,107,13.3,1006.4,-8.6,0,6,0.9,5
111,2013,3,5,14,125,130,68,79.2,100,107,14.3,1005.5,-7.8,0,9,1.6,5
112,2013,3,5,15,133,137,66,60.8,440,107,14.4,1005.2,-7.7,0,0,0.6,5
113,2013,3,5,16,146,155,72,89.455,100,107,13.6,1005,-7.2,0,0,0.7,5
114,2013,3,5,17,162,190,78,64.9233,100,94,12.4,1005.5,-7.1,0,4,1.1,5
115,2013,3,5,18,174,212,86,75.44922,100,76,10,1006,-6.4,0,4,0,5
116,2013,3,5,19,186,226,89,93.14626,100,52,7.6,1006.5,-6.2,0,9,0,5
